Name,Year,Credits,Classes Taken...
Hayden Rivers,2,57,"CSC412, CSC412, WRT227, CSC477, CSC211, CSC372, CSC106, CSC305, CSC412"
Emmett Correia,3,107,"CSC301, CSC110, CSC310, CSC110, CSC212, CSC305, MTH142, CSC440, CSC106, CSC412, WRT104, CSC305, PHY111, CSC402, MTH180, CSC402, CSC440"
Ernest Urbina,3,52,"PHY112, CSC310, CSC212, PHY112, CSC440, MTH142, CSC340, CSC110"
Maxwell Valentin,1,28,"CSC211, CSC301, CSC411, CSC110"
Nicolette Brower,2,21,"CSC340, MTH180, CSC340"
Hezekiah Hong,2,60,"MTH141, CSC310, CSC310, MTH142, PHY111, MTH180, CSC110, MTH180, CSC310, CSC440"
Davis Yee,4,159,"CSC477, MTH142, MTH142, CSC305, CSC340, WRT104, CSC340, PHY111, CSC411, CSC310, CSC340, PHY112, CSC301, CSC412, CSC440, CSC212, WRT227, MTH141, MTH215, CSC110, CSC110, CSC310, CSC372, CSC305, MTH215, CSC301"
Makenna Gooden,1,18,"CSC412, CSC440, CSC301"
Darrius Martens,1,31,"MTH142, PHY111, CSC412, MTH141, CSC402"
Tayla Newby,3,85,"CSC212, CSC106, CSC412, CSC402, MTH142, PHY111, CSC402, CSC440, CSC372, CSC440, CSC211, CSC402, CSC305, WRT227"
Lourdes Quarles,1,31,"CSC110, CSC305, CSC310, WRT227, CSC440"
Avery Stine,1,13,"MTH142, CSC412"
Mckenzie Pepper,4,132,"CSC340, CSC412, CSC310, CSC211, MTH215, CSC412, MTH142, WRT104, MTH180, CSC212, CSC477, MTH215, MTH215, CSC212, MTH141, MTH142, CSC310, MTH215, CSC477, CSC402, CSC477, CSC301"
Ashlin Tully,4,138,"CSC402, WRT227, CSC301, CSC440, WRT227, CSC212, WRT227, CSC402, CSC110, WRT104, MTH142, CSC402, CSC212, CSC477, CSC411, PHY111, CSC372, CSC310, CSC440, CSC340, CSC110, CSC340, CSC110"
Gillian Willoughby,4,118,"MTH215, CSC211, CSC211, PHY111, CSC106, MTH142, CSC411, CSC110, CSC212, CSC411, CSC340, MTH142, PHY112, CSC411, CSC305, CSC402, MTH142, CSC301, CSC106"
Jan Coats,3,82,"PHY111, CSC305, CSC110, MTH142, MTH141, CSC372, CSC301, CSC411, CSC310, CSC301, CSC440, CSC412, CSC211"
Milena Bowie,2,77,"CSC106, WRT104, CSC340, CSC212, PHY112, CSC310, CSC440, CSC477, CSC402, CSC340, WRT227, CSC440"
Quinton McLeod,2,78,"CSC412, CSC212, MTH180, CSC212, CSC310, MTH142, CSC301, CSC477, WRT104, WRT227, WRT227, CSC310, CSC106"
Wendy Stine,2,58,"MTH180, CSC402, CSC305, CSC402, CSC412, CSC211, MTH215, MTH142, WRT227"
Asher Pendleton,1,18,"MTH141, CSC310, CSC340"
Riley Stewart,4,57,"CSC106, CSC106, MTH180, CSC212, MTH142, CSC412, WRT104, CSC477, CSC402"
Diane Serna,3,85,"MTH215, CSC211, CSC440, WRT104, CSC477, CSC211, CSC412, CSC372, CSC412, MTH141, CSC440, CSC411, CSC212, PHY111"
Brennon Lynch,2,34,"CSC110, CSC305, MTH141, CSC372, CSC477"
Augustine Melendez,1,37,"CSC477, CSC305, WRT104, PHY111, CSC411, CSC301"
Jair Rollins,3,93,"CSC305, MTH141, CSC110, WRT104, CSC372, CSC411, CSC402, CSC110, CSC211, MTH141, CSC402, CSC411, WRT227, MTH141, CSC402"
Lila Kang,4,65,"CSC402, CSC440, CSC211, WRT227, CSC372, MTH215, CSC412, CSC477, CSC411, CSC310"
Carol Purvis,3,105,"CSC440, PHY112, PHY112, CSC411, WRT227, CSC211, CSC340, CSC106, CSC412, CSC106, CSC301, CSC412, CSC305, CSC372, PHY111, CSC106, MTH215"
Rylee Torrez,4,80,"CSC412, CSC372, CSC305, CSC477, CSC340, CSC301, MTH141, CSC106, CSC402, WRT104, CSC372, CSC310, CSC477"
Jim Bacon,3,92,"CSC106, WRT104, PHY111, CSC211, CSC440, CSC411, CSC110, CSC372, CSC477, CSC372, CSC372, CSC340, CSC305, CSC477, WRT227"
Joaquin Longoria,2,44,"CSC211, CSC412, CSC106, CSC412, CSC305, PHY112, CSC106"
Shane Sowell,1,34,"WRT104, CSC110, CSC305, MTH141, MTH142"
Abdul Forbes,1,16,"CSC211, CSC411"
Braeden Franco,2,63,"CSC440, PHY112, MTH141, CSC305, CSC301, WRT104, MTH142, CSC212, MTH180, CSC412"
Rogelio Kellogg,1,26,"CSC440, MTH180, CSC440, CSC477"
Guadalupe Yancey,1,23,"CSC412, CSC211, CSC477"
Kaelyn Vincent,3,57,"CSC212, CSC310, CSC411, MTH180, PHY111, CSC310, CSC411, CSC340, CSC477"
Zaria Weber,1,12,"CSC212, PHY111"
Jaycee Zepeda,1,11,CSC411
Myles Epstein,1,32,"CSC412, CSC411, CSC110, PHY112, CSC440"
Baylor Perryman,3,103,"CSC402, CSC402, CSC310, CSC106, CSC411, CSC106, CSC402, CSC440, MTH180, MTH141, CSC212, CSC372, CSC211, MTH215, MTH142, CSC340, CSC340"
Deandra Santamaria,2,52,"CSC301, CSC440, CSC305, CSC440, MTH142, PHY112, CSC305, CSC305"
Caiden Sanderson,3,113,"CSC211, CSC440, CSC211, CSC212, CSC301, MTH141, WRT227, MTH180, CSC305, CSC310, CSC340, MTH141, MTH141, CSC372, CSC402, WRT104, MTH180, MTH142"
Yajaira Cope,4,109,"CSC340, PHY112, CSC440, WRT104, MTH141, CSC412, CSC440, MTH141, CSC211, MTH180, CSC372, MTH215, CSC305, MTH180, CSC402, MTH142, CSC411, MTH141"
Rhett Colson,2,40,"CSC211, CSC477, CSC412, CSC211, CSC440, MTH215"
Cristina Krebs,2,57,"CSC110, CSC402, CSC340, CSC477, MTH142, CSC402, PHY111, MTH215, CSC310"
Jorge Masterson,4,83,"CSC301, WRT104, CSC211, MTH180, CSC211, PHY111, CSC412, CSC411, CSC212, WRT104, MTH215, CSC211, CSC440"
Joshua Thorn,4,56,"CSC372, WRT104, PHY112, CSC310, PHY111, MTH141, MTH215, CSC106, CSC477"
Tara Nix,2,30,"CSC212, CSC477, MTH141, CSC310, CSC412"
Zackery Goff,2,50,"WRT104, PHY111, CSC211, CSC372, CSC301, CSC110, MTH215, WRT104"
Alvin Bowling,2,35,"CSC305, CSC402, CSC106, CSC402, MTH180"
Roxanna Jaime,1,12,"CSC412, CSC301"
Layla Baltazar,1,37,"CSC372, CSC340, MTH215, WRT104, MTH180, CSC372"
Adrianna McCall,2,33,"MTH142, WRT104, CSC305, CSC310, MTH141"
Rohan Toler,2,40,"CSC212, CSC106, CSC305, MTH141, CSC211, CSC402"
Dandre Dalton,1,16,"MTH215, CSC212"
